archive	size_bytes	files_in_zip	present	renamed	missing	note
4.12 Assets/Silence in Heaven Finished/Since in Heaven.zip	1789842864	74	0	0	74	1. In the Beginning was the Word.wav
4.12 Assets/cycle_b_opponent_portraits.zip	45227184	23	0	0	23	home/ubuntu/cycle_b_assets/art/opponents/young_iron_lion/young_iron_lion-portrait.png
4.12 Assets/dischordian_generated_art_pack_final_34.zip	243050768	34	0	0	34	01_empty_quest_log.png
4.12 Assets/dischordian_saga_aaa_assets.zip	75574981	13	1	0	12	dischordian_saga_aaa_assets/arena_default_background.png
4.12 Assets/scifi_game_art_assets.zip	21271498	4	0	0	4	casino_symbols_sprite_sheet.png
4.12 Assets/the_dischordian_saga_aaa_game_assets.zip	493704023	77	38	0	39	game_assets/art/mechronis/professors/professor_kanevas_original.png
AAA Final/Agent_Zero_Corrected.zip	6595285	4	0	0	4	agent_zero_bust_corrected.png
AAA Final/Antiquarian_Viseme_Sheet.zip	6515055	2	0	0	2	antiquarian_viseme_sheet.png
AAA Final/Ark1047_AAA_Assets.zip	30327598	5	0	0	5	station-dock.png
AAA Final/Art Archive 5.10.26.zip	4086197365	26	0	0	26	01_fighter_stages.zip
AAA Final/Dischordia Songs.zip	156470443	62	0	0	62	Dischordia Songs/CLASSIFIED FREQUENCY (2).mp3
AAA Final/DischordianSaga_GameAssets_Complete.zip	241655316	38	8	28	2	ASSET_PRODUCTION_PLAN.md
AAA Final/DischordianSaga_GuildCutscenes_Complete.zip	810607048	177	175	0	2	PRODUCTION_PLAN.md
AAA Final/Elara_Viseme_Sheet.zip	6556889	2	0	0	2	elara_viseme_sheet.png
AAA Final/Locke_Viseme_Sheet.zip	3709653	2	0	0	2	locke_viseme_sheet.png
AAA Final/Minnie_Sprite_Sheets.zip	1610491	3	3	0	0	
AAA Final/NEW_ROOMS_82.zip	514458244	82	82	0	0	
AAA Final/New_Sectors_3.zip	21026539	6	3	3	0	
AAA Final/Source_Viseme_Sheet.zip	5278908	2	0	0	2	source_viseme_sheet.png
AAA Final/Trade_Empire_Art_Assets.zip	401600713	140	68	68	4	trade_empire/wonders/wonder_dreamers_shield.png
AAA Final/actx_aaa_ui_assets.zip	16198903	25	0	0	25	final/backgrounds/p10_act_four_cell.webp
AAA Final/corrected_assets_batch.zip	9499371	8	0	0	8	corrected_assets/warlord_bust_corrected.png
AAA Final/corrected_assets_batch2.zip	13656208	10	0	0	10	corrected_assets_batch2/viseme_engineer.png
AAA Final/deliverables_room_rewrites.zip	33931532	6	5	0	1	deliverables_room_prompt_rewrites.md
AAA Final/dischordian_acts2_7_assets.zip	994567735	193	103	0	90	character_canon_map.md
AAA Final/dischordian_art_assets.zip	506954555	78	45	1	32	art/cards/thought_virus/viral_tendril.png
AAA Final/dischordian_assets_final.zip	1468975430	255	0	0	255	protagonists/elara_idle_hologram.png
AAA Final/dischordian_batch3_assets.zip	32037707	8	8	0	0	
AAA Final/dischordian_new_suit_sets_mourners_first_chassis.tar.gz	709658920	0	0	0	0	NON-ZIP-archive (skipped)
AAA Final/dischordian_room_state_art (2).zip	51377038	8	0	8	0	
AAA Final/dischordian_room_state_art.zip	51377038	8	0	8	0	
AAA Final/final_22_rooms.zip	178018391	29	29	0	0	
AAA Final/inception_ark_room_tiers.zip	5012036	12	6	6	0	
AAA Final/last_words_only.zip	21392055	41	1	0	40	last_words_package/last_words_1_1.html
AAA Final/last_words_tease_afro_remake.zip	30436905	6	0	0	6	last_words_tease_afro_remake/last_words_tease_afro_remake_slide_1.png
AAA Final/mega_batch_101_assets.zip	342151914	151	125	0	26	classmates/aria-wen_original.png
AAA Final/prelude_asset_build_no_vo.zip	205315425	118	38	10	70	home/ubuntu/prelude_asset_build/manifests/asset_prompt_manifest.json
